id,logo,name,descrption,prix,id_restaurant
2365899,,Mac Chouffe Brune 75Cl,,"11,80 €",34581
2365900,,Bruges Zot Blonde 33Cl,,"5,90 €",34581
2365901,,Bruges Zot Blonde 75Cl,,"11,80 €",34581
2365902,,Bush Blonde 33Cl,,"5,90 €",34581
2365903,,Bush Blonde 75Cl,,"12,90 €",34581
2365904,,Bush Ambrée 33Cl,,"5,80 €",34581
2365905,,Bush Ambrée 75Cl,,"12,90 €",34581
2365906,,Chimay Bleu 33Cl,,"5,90 €",34581
2365907,,Chimay Bleu 75Cl,,"11,80 €",34581
2365908,,Chimay Rouge 33Cl,,"5,90 €",34581
2365909,,Chimay Rouge 75Cl,,"11,80 €",34581
2365910,,Chimay Tripel 33Cl,,"5,90 €",34581
2365911,,Chimay Tripel 75Cl,,"11,80 €",34581
2365912,,Rochefort06 33Cl,,"5,80 €",34581
2365913,,Rochefort08 33Cl,,"5,90 €",34581
2365914,,Rochefort10 33Cl,,"5,90 €",34581
2365915,,St Fuillien Blonde 75Cl,,"10,80 €",34581
2365916,,St Fullien Tripel 75Cl,,"10,90 €",34581
2365917,,Mont Des Cats 33Cl,,"5,90 €",34581
2365918,,Mont Des Cats 75Cl,,"11,80 €",34581
2365919,,Saison Dupont 33Cl,,"5,90 €",34581
2365920,,Saison Dupont 75Cl,,"11,80 €",34581
2365921,,Rodenbach 33Cl,Grand Cru,"5,90 €",34581
2365922,,St Bernardus Abt12 33Cl,,"5,90 €",34581
2365923,,St Bernardus Abt12 75Cl,,"11,90 €",34581
2365924,,St Bernardus Prior08 75Cl,,"10,90 €",34581
2365925,,St Bernardus Tripel 75Cl,,"10,90 €",34581
2365926,,Carolus Tripel 33Cl,,"5,90 €",34581
2365927,,Carolus Tripel 75Cl,,"10,90 €",34581
2365928,,Delirium Tremens 33Cl,,"5,90 €",34581
2365929,,Delirium Tremens 75Cl,,"10,90 €",34581
2365930,,Delirium Nocturnum 33Cl,,"5,90 €",34581
2365931,,Delirium Nocturnum 75Cl,,"10,90 €",34581
2365932,,Deus 75Cl,,"29,80 €",34581
2365933,,Duchesse De Bourgogne 25Cl,,"5,90 €",34581
2365934,,Duchesse De Bourgogne 75Cl,,"11,80 €",34581
2365935,,Fruit Défendu 33Cl,,"5,90 €",34581
2365936,,Gulden Draak 33Cl,,"5,90 €",34581
2365937,,Gulden Draak 75Cl,,"11,90 €",34581
2365938,,Lupulus Blonde 75Cl,,"10,80 €",34581
2365939,,Lupulus Brune 75Cl,,"10,90 €",34581
2365940,,Kasteel Triple 33Cl,,"5,90 €",34581
2365941,,Kasteel Triple 75Cl,,"10,90 €",34581
2365942,,Hommelbier 75Cl,,"10,90 €",34581
2365943,,Kwak 33Cl,,"5,90 €",34581
2365944,,Kwak 75Cl,,"10,90 €",34581
2365945,,Orval 33Cl,,"5,90 €",34581
2365946,,Westmalle Triple 33Cl,,"4,90 €",34581
2365947,,Westmalle Triple 75Cl,,"11,90 €",34581
2365948,,Westmalle Double 75Cl,,"10,90 €",34581
2365949,,Vedett Blonde 33Cl,,"5,90 €",34581
2365950,,Duvel Blonde 33Cl,,"5,90 €",34581
2365951,,Duvel Blonde 75Cl,,"11,90 €",34581
2365952,,Rince Cochon Blonde 33Cl,,"5,90 €",34581
2365953,,Rince Cochon Blonde 75Cl,,"10,90 €",34581
2365850,,Deck & Donohue Indigo Ipa 50Cl,Montreuil,"7,90 €",34581
2365851,,Deck & Donohue Monk 50Cl,Montreuil,"7,90 €",34581
2365852,,Deck & Donohue Ricochet 50Cl,Montreuil,"7,90 €",34581
2365853,,Deck & Donohue Mission Pale Ale 33Cl,Montreuil,"5,90 €",34581
2365855,,Deck & Donohue Trouble #6 33Cl,Montreuil,"5,90 €",34581
2365856,,Bapbap Pale Ale 33Cl,Paris 11 ,"5,90 €",34581
2365857,,Bapbap Porter 33Cl,Paris 11 ,"5,90 €",34581
2365858,,Bapbap Blanche 33Cl,Paris 11 ,"5,90 €",34581
2365859,,La Parisienne Blanche 33Cl,Pantin,"5,90 €",34581
2365860,,La Parisienne Blonde 33Cl,Pantin,"5,90 €",34581
2365861,,La Parisienne Rousse 33Cl,Pantin,"5,90 €",34581
2365862,,Sphinx 33Cl,Brasserie De L'ÊTre 19Eme,"5,90 €",34581
2365863,,Oliphant Jerakine 33Cl,Brasserie De L'ÊTre 19Eme,"5,90 €",34581
2365864,,Salam Andra 33Cl,Brasserie De L'ÊTre 19Eme,"5,90 €",34581
2365865,,Cerberus 33Cl,Brasserie De L'ÊTre 19Eme,"5,90 €",34581
2365866,,La Baleine Blonde 33Cl,La Baleine 20ème,"5,80 €",34581
2365867,,La Baleine Ambrée Fumée 33Cl,La Baleine 20ème,"5,90 €",34581
2365868,,La Baleine Blanche 33Cl,La Baleine 20ème,"5,90 €",34581
2365869,,Brasserie De La Vallée Chevreuse - Blonde 33Cl,,"5,90 €",34581
2365870,,Brasserie De La Vallée Chevreuse - Blonde 75Cl,,"11,80 €",34581
2365871,,Brasserie De La Vallée Chevreuse - Triple 33Cl,,"5,90 €",34581
2365872,,Brasserie De La Vallée Chevreuse - Triple 75Cl,,"11,80 €",34581
